zone_id,departure_time_in_min,demand, demand_type,OTTB_5_min,OTTB_10_min,OTTB_15_min,OTTB_20_min,OTTB_25_min,OTTB_30_min,OTTB_35_min,OTTB_40_min,OTTB_45_min,OTTB_50_min,OTTB_55_min,OTTB_60_min,OTTB_65_min,OTTB_70_min,OTTB_75_min,OTTB_80_min,OTTB_85_min,OTTB_90_min,OTTB_95_min,OTTB_100_min,OTTB_105_min,OTTB_110_min,OTTB_115_min,OTTB_120_min,OTTB_125_min,OTTB_130_min,OTTB_135_min,OTTB_140_min,OTTB_145_min,OTTB_150_min,OTTB_155_min,OTTB_160_min,OTTB_165_min,OTTB_170_min,OTTB_175_min,DTTB_5_min,DTTB_10_min,DTTB_15_min,DTTB_20_min,DTTB_25_min,DTTB_30_min,DTTB_35_min,DTTB_40_min,DTTB_45_min,DTTB_50_min,DTTB_55_min,DTTB_60_min,DTTB_65_min,DTTB_70_min,DTTB_75_min,DTTB_80_min,DTTB_85_min,DTTB_90_min,DTTB_95_min,DTTB_100_min,DTTB_105_min,DTTB_110_min,DTTB_115_min,DTTB_120_min,DTTB_125_min,DTTB_130_min,DTTB_135_min,DTTB_140_min,DTTB_145_min,DTTB_150_min,DTTB_155_min,DTTB_160_min,DTTB_165_min,DTTB_170_min,DTTB_175_min,WOTTB_5_min,WOTTB_10_min,WOTTB_15_min,WOTTB_20_min,WOTTB_25_min,WOTTB_30_min,WOTTB_35_min,WOTTB_40_min,WOTTB_45_min,WOTTB_50_min,WOTTB_55_min,WOTTB_60_min,WOTTB_65_min,WOTTB_70_min,WOTTB_75_min,WOTTB_80_min,WOTTB_85_min,WOTTB_90_min,WOTTB_95_min,WOTTB_100_min,WOTTB_105_min,WOTTB_110_min,WOTTB_115_min,WOTTB_120_min,WOTTB_125_min,WOTTB_130_min,WOTTB_135_min,WOTTB_140_min,WOTTB_145_min,WOTTB_150_min,WOTTB_155_min,WOTTB_160_min,WOTTB_165_min,WOTTB_170_min,WOTTB_175_min,WDTTB_5_min,WDTTB_10_min,WDTTB_15_min,WDTTB_20_min,WDTTB_25_min,WDTTB_30_min,WDTTB_35_min,WDTTB_40_min,WDTTB_45_min,WDTTB_50_min,WDTTB_55_min,WDTTB_60_min,WDTTB_65_min,WDTTB_70_min,WDTTB_75_min,WDTTB_80_min,WDTTB_85_min,WDTTB_90_min,WDTTB_95_min,WDTTB_100_min,WDTTB_105_min,WDTTB_110_min,WDTTB_115_min,WDTTB_120_min,WDTTB_125_min,WDTTB_130_min,WDTTB_135_min,WDTTB_140_min,WDTTB_145_min,WDTTB_150_min,WDTTB_155_min,WDTTB_160_min,WDTTB_165_min,WDTTB_170_min,WDTTB_175_min,x,y,geometry,geometry
1,885,300.0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.120260,28.628553,"<Point><coordinates>19.120260,28.628553</coordinates></Point>","<Polygon><outerBoundaryIs><LinearRing><coordinates>17.343010,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1,885,300.0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.120260,28.628553,"<Point><coordinates>19.120260,28.628553</coordinates></Point>","<Polygon><outerBoundaryIs><LinearRing><coordinates>17.343010,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,840,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,840,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,840,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,855,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,855,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,855,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,870,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,870,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,870,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>158.634478,45.327310,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
